sf;fylke;ot;trt;gt
2521;42;242440;;
2521;34;285010;;
2521;15;221210;;
2521;18;148280;;
2521;3;786610;;
2521;11;378730;;
2521;38;343970;;
2521;54;209990;;
2521;50;412060;;
2521;46;532290;;
2521;30;851510;;
2521;21;3960;;
2521;0;;;1960000
2504;42;1909750;2000;
2504;34;1385139;74112;
2504;15;311650;;
2504;18;161750;;
2504;3;1919587;;
2504;11;3480718;;
2504;38;1380052;100000;
2504;54;158629;;
2504;50;786342;37000;
2504;46;1590320;14000;
2504;30;3090637;158200;
2504;0;;;5522425
2525;42;826860;57100;
2525;34;2456525;61892;
2525;15;1185542;10000;
2525;18;1225215;28800;
2525;3;4222632;125378;
2525;11;1469684;118278;
2525;38;1703550;260300;
2525;54;1433728;57965;
2525;50;3249899;33000;
2525;46;3349822;36000;
2525;30;5024536;492884;
2525;21;38250;;
2525;;;;7794623
2534;34;328;1572;
2534;18;23462;58220;
2534;54;602088;574623;
2534;0;;;1255656
2508;42;896981;925603;
2508;34;1777073;3071857;
2508;15;957814;1062723;
2508;18;2640024;2337840;
2508;3;1477518;3541508;
2508;11;640573;1044471;
2508;38;1038508;1319374;
2508;54;572091;1070426;
2508;50;2686977;2603912;
2508;46;2181143;3024608;
2508;30;5079018;10668152;
2508;0;;;7000643
2510;42;1265450;7253;
2510;34;2618952;59866;
2510;15;922668;76105;
2510;18;894039;6700;
2510;3;1414044;920;
2510;11;1000394;7254;
2510;38;3490343;39919;
2510;54;790496;13858;
2510;50;3293900;282587;
2510;46;1955037;11270;
2510;30;5072910;111075;
2510;21;2300;;
2510;0;1734077;;4900000
2538;42;1143150;87667;
2538;34;2994505;;
2538;15;1607848;;
2538;18;1386265;;
2538;3;7182074;324760;
2538;11;2586964;44874;
2538;38;2060606;216970;
2538;54;1376869;171170;
2538;50;3286947;136473;
2538;46;5481834;3701;
2538;30;5006370;144107;
2538;0;163666;;3979258
2539;42;524300;;
2539;34;975000;3200;
2539;15;288300;1000;
2539;18;523500;5700;
2539;3;400100;;
2539;11;295900;3000;
2539;38;460900;;
2539;54;708900;;
2539;50;841100;3000;
2539;46;866700;3000;
2539;30;1656900;;
2539;21;10800;;
2539;0;;;1956410
2542;42;62850;;
2542;34;65450;;
2542;15;54200;;
2542;18;82350;;
2542;3;169500;;
2542;11;65550;;
2542;38;140850;;
2542;54;22300;;
2542;50;67500;;
2542;46;168750;;
2542;30;229330;;
2542;21;10800;;
2542;0;;;423341
2535;42;80900;;
2535;34;126300;;
2535;15;85800;;
2535;18;119100;;
2535;3;22100;;
2535;11;87300;;
2535;38;51700;;
2535;54;26200;;
2535;50;163200;;
2535;46;119200;;
2535;30;222800;;
2535;0;;;450000
2536;42;32832;;
2536;34;939704;;
2536;3;243856;;
2536;11;293934;;
2536;38;1313702;792808;
2536;50;1141891;739370;
2536;46;9535;;
2536;30;1389685;333312;
2536;0;;;3856241
