sf;fylke;ot;trt;gt
2521;42;268180;;
2521;34;303600;;
2521;15;238370;;
2521;18;137500;;
2521;3;744920;;
2521;11;317790;;
2521;39;221430;;
2521;55;144320;;
2521;50;494890;;
2521;46;541200;;
2521;32;502480;;
2521;33;189970;;
2521;40;135410;;
2521;31;228140;;
2521;56;111980;;
2521;21;1760;;
2521;0;;;2148779
2504;42;2102441;23466;
2504;34;1575553;40674;
2504;15;505811;;
2504;18;152095;;
2504;3;1700947;4400;
2504;11;3063326;3610;
2504;39;1034961;4634;
2504;55;136801;3100;
2504;50;587302;;
2504;46;1953669;21845;
2504;32;1376142;6817;
2504;33;1001493;;
2504;40;673187;;
2504;31;1346008;7035;
2504;56;53760;;
2504;21;0;;
2504;0;;;5709484
2525;42;1260013;105550;
2525;34;3229178;112703;
2525;15;1549271;0;
2525;18;1659488;55000;
2525;3;5182609;65842;
2525;11;1909045;185653;
2525;39;1276208;36000;
2525;55;1342288;183399;
2525;50;4260150;70550;
2525;46;4468710;71475;
2525;32;3423184;552748;
2525;33;1484421;333387;
2525;40;1103652;301720;
2525;31;1818443;223656;
2525;56;464850;9000;
2525;21;48495;0;
2525;0;;;9312288
2534;42;0;;
2534;34;0;;
2534;15;0;;
2534;18;0;;
2534;3;7737;23160;
2534;11;0;;
2534;39;0;;
2534;55;165302;75980;
2534;50;0;;
2534;46;0;;
2534;32;0;;
2534;33;0;;
2534;40;0;;
2534;31;0;;
2534;56;608472;111509;
2534;21;0;;
2534;0;;;981224
2508;42;1034431;810469;
2508;34;1608994;2368877;
2508;15;1196857;876897;
2508;18;2095850;1438992;
2508;3;2059825;2261075;
2508;11;779883;508625;
2508;39;755055;599634;
2508;55;401079;488028;
2508;50;2525578;1435937;
2508;46;2010112;1961834;
2508;32;2684117;6420975;
2508;33;1032650;1521247;
2508;40;403284;619925;
2508;31;972963;1097459;
2508;56;279135;354074;
2508;21;0;;
2508;0;;;7756953
2510;42;1073617;6000;
2510;34;2020762;138150;
2510;15;830720;182291;
2510;18;747136;21472;
2510;3;1550426;25241;
2510;11;762595;32681;
2510;39;1483985;5400;
2510;55;570276;37140;
2510;50;3035705;348470;
2510;46;1569961;17872;
2510;32;3609636;186187;
2510;33;635236;74241;
2510;40;1794741;26900;
2510;31;1178212;157449;
2510;56;99800;;
2510;21;2000;;
2510;0;1928219;;5376823
2539;42;862490;5210;
2539;34;1116195;3780;
2539;15;438910;;
2539;18;616578;;
2539;3;474403;;
2539;11;434342;;
2539;39;319358;;
2539;55;465795;;
2539;50;989175;2000;
2539;46;1025935;;
2539;32;819037;;
2539;33;740303;5000;
2539;40;241176;;
2539;31;388906;;
2539;56;219698;;
2539;21;7260;;
2539;0;;;2410571
2542;42;;;
2542;34;;;
2542;15;;;
2542;18;;;
2542;3;;;
2542;11;;;
2542;39;;;
2542;55;;;
2542;50;;;
2542;46;;;
2542;32;;;
2542;33;;;
2542;40;;;
2542;31;;;
2542;56;;;
2542;21;;;
2542;0;;;
2535;42;87540;;
2535;34;233280;;
2535;15;91500;;
2535;18;157380;;
2535;3;16020;;
2535;11;126630;;
2535;39;48360;;
2535;55;44700;;
2535;50;184740;;
2535;46;175995;;
2535;32;82440;;
2535;33;126720;;
2535;40;65640;;
2535;31;59040;;
2535;56;21060;;
2535;21;;;
2535;0;;;494122
2536;42;;;
2536;34;;;
2536;15;;;
2536;18;;;
2536;3;;;
2536;11;;;
2536;39;;;
2536;55;;;
2536;50;;;
2536;46;;;
2536;32;;;
2536;33;;;
2536;40;;;
2536;31;;;
2536;56;;;
2536;21;;;
2536;0;;;
