sf;fylke;ot;trt;gt
2521;42;316470;;
2521;34;303490;;
2521;15;240020;;
2521;18;157190;;
2521;3;786500;;
2521;11;286220;;
2521;39;171930;;
2521;55;169620;;
2521;50;448470;;
2521;46;566500;;
2521;32;478170;;
2521;33;197230;;
2521;40;132440;;
2521;31;236170;;
2521;56;87230;;
2521;21;2200;;
2521;0;;;2148779
2504;42;2111693;11000;
2504;34;2016555;53520;
2504;15;630327;12666;
2504;18;157150;0;
2504;3;1804028;7000;
2504;11;2895424;2796;
2504;39;841789;0;
2504;55;153796;4396;
2504;50;552642;8660;
2504;46;2058417;23136;
2504;32;1364349;3610;
2504;33;1074946;2000;
2504;40;904604;2000;
2504;31;1041732;4500;
2504;56;62333;0;
2504;21;3600;0;
2504;0;;;5376823
2525;42;1436237;115500;
2525;34;3036683;111248;
2525;15;1580420;0;
2525;18;1743691;19807;
2525;3;5821536;151542;
2525;11;2113165;273123;
2525;39;1250753;78930;
2525;55;1414159;154586;
2525;50;4455997;64545;
2525;46;4494917;132264;
2525;32;3471006;606429;
2525;33;1405069;336956;
2525;40;1172251;260325;
2525;31;1807728;253492;
2525;56;534975;0;
2525;21;62005;0;
2525;0;;;8448828
2534;42;0;0;
2534;34;0;0;
2534;15;410;0;
2534;18;5200;0;
2534;3;6168;0;
2534;11;1640;0;
2534;39;0;0;
2534;55;82657;0;
2534;50;0;0;
2534;46;0;0;
2534;32;0;0;
2534;33;0;0;
2534;40;0;0;
2534;31;0;0;
2534;56;687861;0;
2534;21;0;;
2534;0;;;494120
2508;42;978678;739544;
2508;34;1246406;1371762;
2508;15;1153589;801131;
2508;18;1819038;1678094;
2508;3;1646429;2010606;
2508;11;699840;660631;
2508;39;649170;681556;
2508;55;359204;262543;
2508;50;2381949;1943873;
2508;46;1736936;2199818;
2508;32;2705510;5586396;
2508;33;918489;1407785;
2508;40;333838;418208;
2508;31;935532;1051373;
2508;56;226350;283596;
2508;21;0;0;
2508;0;;;5376823
2510;42;1328865;17746;
2510;34;2279531;203273;
2510;15;962868;143787;
2510;18;823956;7250;
2510;3;1555334;51000;
2510;11;838075;29323;
2510;39;1530093;5000;
2510;55;540787;1500;
2510;50;3211563;939550;
2510;46;1899433;36720;
2510;32;3736601;221626;
2510;33;817270;187738;
2510;40;1751782;54280;
2510;31;1227391;193136;
2510;56;137892;;
2510;21;0;;
2510;0;2042118;;6300000
2539;42;844822;0;
2539;34;1179208;2650;
2539;15;409413;550;
2539;18;533206;1520;
2539;3;494066;0;
2539;11;525950;0;
2539;39;307690;0;
2539;55;451205;0;
2539;50;930805;12221;
2539;46;842540;3000;
2539;32;878265;500;
2539;33;661553;10881;
2539;40;236565;0;
2539;31;406730;0;
2539;56;218928;1500;
2539;21;15050;0;
2539;0;;;2148779
2542;42;;;
2542;34;;;
2542;15;;;
2542;18;;;
2542;3;;;
2542;11;;;
2542;39;;;
2542;55;;;
2542;50;;;
2542;46;;;
2542;32;;;
2542;33;;;
2542;40;;;
2542;31;;;
2542;56;;;
2542;21;;;
2542;0;;;
2535;42;120973;;
2535;34;317945;;
2535;15;162542;;
2535;18;231809;;
2535;3;34934;;
2535;11;180021;;
2535;39;47050;;
2535;55;65463;;
2535;50;232454;;
2535;46;258293;;
2535;32;107514;;
2535;33;162305;;
2535;40;117961;;
2535;31;86257;;
2535;56;24935;;
2535;21;0;;
2535;0;;;494122
2536;42;25590;675;
2536;34;1676807;;
2536;15;19008;;
2536;18;31200;;
2536;3;231408;48050;
2536;11;307182;522318;
2536;39;1143980;1782477;
2536;55;31200;;
2536;50;1309312;2447628;
2536;46;25454;;
2536;32;246470;;
2536;33;300950;603283;
2536;40;1691439;;
2536;31;155387;27330;
2536;56;0;;
2536;21;0;;
2536;0;;;2148779
